Type,File,link
Conf-Infrastructure-Setup,collect-container-logs.sh,https://github.com/openstack/ansible-role-collect-logs/blob/master/roles/collect_logs/files/collect-container-logs.sh
Conf-Infrastructure-Setup,ansible-lint.sh,https://github.com/openstack/ansible-role-openstack-operations/blob/master/ci-scripts/ansible-lint.sh
Conf-Infrastructure-Setup,install-non-galaxy.sh,https://github.com/openstack/ansible-role-openstack-operations/blob/master/ci-scripts/install-non-galaxy.sh
Conf-Infrastructure-Setup,ansible-lint.sh,https://github.com/openstack/ansible-role-tripleo-modify-image/blob/master/ci-scripts/ansible-lint.sh
Conf-Infrastructure-Setup,dev_install.sh,https://github.com/openstack/ansible-role-tripleo-modify-image/blob/master/files/dev_install.sh
Conf-Infrastructure-Setup,rpm_install.sh,https://github.com/openstack/ansible-role-tripleo-modify-image/blob/master/files/rpm_install.sh
Conf-Infrastructure-Setup,yum_install.sh,https://github.com/openstack/ansible-role-tripleo-modify-image/blob/master/files/yum_install.sh
Conf-ServiceOperations,plugin.sh,https://github.com/openstack/aodh/blob/master/devstack/plugin.sh
Conf-ServiceOperations,gate_hook.sh,https://github.com/openstack/barbican/blob/master/devstack/gate_hook.sh
Conf-ServiceOperations,plugin.sh,https://github.com/openstack/barbican/blob/master/devstack/plugin.sh
Conf-ServiceOperations,barbican.sh,https://github.com/openstack/barbican/blob/master/bin/barbican.sh
Conf-ServiceOperations,keystone_data.sh,https://github.com/openstack/barbican/blob/master/bin/keystone_data.sh
Conf-ServiceOperations,shutdown.sh,https://github.com/openstack/barbican/blob/master/devstack/upgrade/shutdown.sh
Conf-ServiceOperations,upgrade.sh,https://github.com/openstack/barbican/blob/master/devstack/upgrade/upgrade.sh
Conf-ServiceOperations,ansible-lint.sh,https://github.com/openstack/bifrost/blob/master/tools/ansible-lint.sh
Conf-Infrastructure-Setup,env-setup.sh,https://github.com/openstack/bifrost/blob/master/scripts/env-setup.sh
Conf-ServiceOperations,plugin.sh,https://github.com/openstack/blazar/blob/master/devstack/plugin.sh
Conf-ServiceOperations,shutdown.sh,https://github.com/openstack/ceilometer/blob/master/devstack/upgrade/shutdown.sh
Conf-ServiceOperations,upgrade.sh,https://github.com/openstack/ceilometer/blob/master/devstack/upgrade/upgrade.sh
Conf-ServiceOperations,plugin.sh,https://github.com/openstack/ceilometer-powervm/blob/master/devstack/plugin.sh
Conf-Infrastructure-Template,99-hardening.sh,https://github.com/openstack/charm-ceilometer/blob/master/charmhelpers/contrib/hardening/host/templates/99-hardening.sh
Conf-Infrastructure-Template,pinerolo_profile.sh,https://github.com/openstack/charm-ceilometer/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-ceilometer/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-ceilometer-agent/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy_queue_depth.sh,https://github.com/openstack/charm-ceilometer-agent/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Setup,collect_ceph_status.sh,https://github.com/openstack/charm-ceph-mon/blob/master/files/nagios/collect_ceph_status.sh
Conf-Infrastructure-Template,99-hardening.sh,https://github.com/openstack/charm-ceph-mon/blob/master/hooks/charmhelpers/contrib/hardening/host/templates/99-hardening.sh
Conf-Infrastructure-Setup,collect_ceph_status.sh,https://github.com/openstack/charm-ceph-osd/blob/master/files/nagios/collect_ceph_status.sh
Conf-Infrastructure-Template,99-hardening.sh,https://github.com/openstack/charm-ceph-osd/blob/master/hooks/charmhelpers/contrib/hardening/host/templates/99-hardening.sh
Conf-Infrastructure-Template,99-hardening.sh,https://github.com/openstack/charm-ceph-proxy/blob/master/charmhelpers/contrib/hardening/host/templates/99-hardening.sh
Conf-Infrastructure-Template,pinerolo_profile.sh,https://github.com/openstack/charm-ceph-proxy/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh
Conf-Infrastructure-Template,99-hardening.sh,https://github.com/openstack/charm-ceph-radosgw/blob/master/hooks/charmhelpers/contrib/hardening/host/templates/99-hardening.sh
Conf-Infrastructure-Template,pinerolo_profile.sh,https://github.com/openstack/charm-ceph-radosgw/blob/master/hooks/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-ceph-radosgw/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-cinder/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy_queue_depth.sh,https://github.com/openstack/charm-cinder/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Template,99-hardening.sh,https://github.com/openstack/charm-cinder/blob/master/charmhelpers/contrib/hardening/host/templates/99-hardening.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-cinder-backup/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy_queue_depth.sh,https://github.com/openstack/charm-cinder-backup/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-cinder-ceph/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-glance/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy_queue_depth.sh,https://github.com/openstack/charm-glance/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Template,pinerolo_profile.sh,https://github.com/openstack/charm-glance/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh
Conf-Infrastructure-Template,99-hardening.sh,https://github.com/openstack/charm-glance/blob/master/charmhelpers/contrib/hardening/host/templates/99-hardening.sh
Conf-Infrastructure-Setup,glance-simplestreams-sync.sh,https://github.com/openstack/charm-glance-simplestreams-sync/blob/master/files/glance-simplestreams-sync.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-glance-simplestreams-sync/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-heat/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy_queue_depth.sh,https://github.com/openstack/charm-heat/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Template,pinerolo_profile.sh,https://github.com/openstack/charm-heat/blob/master/hooks/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-keystone/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy_queue_depth.sh,https://github.com/openstack/charm-keystone/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Template,pinerolo_profile.sh,https://github.com/openstack/charm-keystone/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh
Conf-Infrastructure-Template,99-hardening.sh,https://github.com/openstack/charm-keystone/blob/master/charmhelpers/contrib/hardening/host/templates/99-hardening.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-neutron-api/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy_queue_depth.sh,https://github.com/openstack/charm-neutron-api/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Template,pinerolo_profile.sh,https://github.com/openstack/charm-neutron-api/blob/master/hooks/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-neutron-gateway/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy_queue_depth.sh,https://github.com/openstack/charm-neutron-gateway/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Template,pinerolo_profile.sh,https://github.com/openstack/charm-neutron-gateway/blob/master/hooks/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-neutron-openvswitch/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-nova-cloud-controller/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy_queue_depth.sh,https://github.com/openstack/charm-nova-cloud-controller/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Template,pinerolo_profile.sh,https://github.com/openstack/charm-nova-cloud-controller/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-nova-compute/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy_queue_depth.sh,https://github.com/openstack/charm-nova-compute/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Template,pinerolo_profile.sh,https://github.com/openstack/charm-nova-compute/blob/master/hooks/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-nova-lxd/blob/master/hooks/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-openstack-dashboard/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy_queue_depth.sh,https://github.com/openstack/charm-openstack-dashboard/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Template,pinerolo_profile.sh,https://github.com/openstack/charm-openstack-dashboard/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh
Conf-Infrastructure-Setup,collect_rabbitmq_stats.sh,https://github.com/openstack/charm-rabbitmq-server/blob/master/files/collect_rabbitmq_stats.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-rabbitmq-server/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy_queue_depth.sh,https://github.com/openstack/charm-rabbitmq-server/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Template,pinerolo_profile.sh,https://github.com/openstack/charm-rabbitmq-server/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-swift-proxy/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy_queue_depth.sh,https://github.com/openstack/charm-swift-proxy/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Template,pinerolo_profile.sh,https://github.com/openstack/charm-swift-proxy/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh
Conf-Infrastructure-Template,99-hardening.sh,https://github.com/openstack/charm-swift-storage/blob/master/charmhelpers/contrib/hardening/host/templates/99-hardening.sh
Conf-Infrastructure-Template,pinerolo_profile.sh,https://github.com/openstack/charm-swift-storage/blob/master/charmhelpers/contrib/hardening/host/templates/pinerolo_profile.sh
Conf-Infrastructure-Setup,check_haproxy.sh,https://github.com/openstack/charm-swift-storage/blob/master/charmhelpers/contrib/openstack/files/check_haproxy.sh
Conf-Infrastructure-Setup,check_haproxy_queue_depth.sh,https://github.com/openstack/charm-swift-storage/blob/master/charmhelpers/contrib/openstack/files/check_haproxy_queue_depth.sh
Conf-Infrastructure-Setup,check_swift_replicator_logs.sh,https://github.com/openstack/charm-swift-storage/blob/master/files/nrpe-external-master/check_swift_replicator_logs.sh
Conf-ServiceOperations,cinder-api.sh,https://github.com/openstack/cinder/blob/master/contrib/block-box/scripts/cinder-api.sh
Conf-ServiceOperations,lvm-service.sh,https://github.com/openstack/cinder/blob/master/contrib/block-box/scripts/lvm-service.sh
Conf-ServiceOperations,coding-checks.sh,https://github.com/openstack/cinder/blob/master/tools/coding-checks.sh
Conf-ServiceOperations,check_uptodate.sh,https://github.com/openstack/cinder/blob/master/tools/config/check_uptodate.sh
Conf-ServiceOperations,fast8.sh,https://github.com/openstack/cinder/blob/master/tools/fast8.sh
Conf-ServiceOperations,run_multi_backend_matrix.sh,https://github.com/openstack/cinder/blob/master/tools/hooks/run_multi_backend_matrix.sh
Conf-ServiceOperations,utils.sh,https://github.com/openstack/cinder/blob/master/tools/hooks/utils.sh
Conf-ServiceOperations,mypywrap.sh,https://github.com/openstack/cinder/blob/master/tools/mypywrap.sh
Conf-ServiceOperations,plugin.sh,https://github.com/openstack/cinderlib/blob/master/devstack/plugin.sh
Conf-ServiceOperations,coding-checks.sh,https://github.com/openstack/cinderlib/blob/master/tools/coding-checks.sh
Conf-ServiceOperations,fast8.sh,https://github.com/openstack/cinderlib/blob/master/tools/fast8.sh
Conf-ServiceOperations,lvm-prepare.sh,https://github.com/openstack/cinderlib/blob/master/tools/lvm-prepare.sh
Conf-ServiceOperations,virtualenv-sudo.sh,https://github.com/openstack/cinderlib/blob/master/tools/virtualenv-sudo.sh
Conf-ServiceOperations,plugin.sh,https://github.com/openstack/cloudkitty/blob/master/devstack/plugin.sh
Conf-ServiceOperations,tox_install.sh,https://github.com/openstack/compute-hyperv/blob/master/tools/tox_install.sh
Conf-Infrastructure-Setup,neutron-enable-bridge-firewall.sh,https://github.com/openstack/cookbook-openstack-network/blob/master/files/default/neutron-enable-bridge-firewall.sh
Conf-Infrastructure-Setup,post_gen_project.sh,https://github.com/openstack/cookiecutter/blob/master/hooks/post_gen_project.sh
Conf-ServiceOperations,plugin.sh,https://github.com/openstack/cyborg/blob/master/devstack/plugin.sh
Conf-ServiceOperations,gate_hook.sh,https://github.com/openstack/designate/blob/master/devstack/gate/gate_hook.sh
Conf-ServiceOperations,plugin.sh,https://github.com/openstack/designate/blob/master/devstack/plugin.sh
Conf-ServiceOperations,resources.sh,https://github.com/openstack/designate/blob/master/devstack/upgrade/resources.sh
Conf-ServiceOperations,shutdown.sh,https://github.com/openstack/designate/blob/master/devstack/upgrade/shutdown.sh
Conf-ServiceOperations,upgrade.sh,https://github.com/openstack/designate/blob/master/devstack/upgrade/upgrade.sh
Conf-ServiceOperations,pretty_flake8.sh,https://github.com/openstack/designate/blob/master/tools/pretty_flake8.sh
Conf-ServiceOperations,with_venv.sh,https://github.com/openstack/designate/blob/master/tools/with_venv.sh
Conf-ServiceOperations,clean.sh,https://github.com/openstack/devstack/blob/master/clean.sh
Conf-Infrastructure-Setup,80-tempest.sh,https://github.com/openstack/devstack/blob/master/extras.d/80-tempest.sh
Conf-Infrastructure-Setup,updown.sh,https://github.com/openstack/devstack/blob/master/gate/updown.sh
Conf-Infrastructure-Setup,local.sh,https://github.com/openstack/devstack/blob/master/samples/local.sh
Conf-Infrastructure-Setup,stack.sh,https://github.com/openstack/devstack/blob/master/stack.sh
Conf-ServiceOperations,create-stack-user.sh,https://github.com/openstack/devstack/blob/master/tools/create-stack-user.sh
Conf-ServiceOperations,create_userrc.sh,https://github.com/openstack/devstack/blob/master/tools/create_userrc.sh
Conf-ServiceOperations,debug_function.sh,https://github.com/openstack/devstack/blob/master/tools/debug_function.sh
Conf-ServiceOperations,discover_hosts.sh,https://github.com/openstack/devstack/blob/master/tools/discover_hosts.sh
Conf-ServiceOperations,dstat.sh,https://github.com/openstack/devstack/blob/master/tools/dstat.sh
Conf-ServiceOperations,fixup_stuff.sh,https://github.com/openstack/devstack/blob/master/tools/fixup_stuff.sh
Conf-ServiceOperations,generate-devstack-plugins-list.sh,https://github.com/openstack/devstack/blob/master/tools/generate-devstack-plugins-list.sh
Conf-ServiceOperations,image_list.sh,https://github.com/openstack/devstack/blob/master/tools/image_list.sh
Conf-ServiceOperations,info.sh,https://github.com/openstack/devstack/blob/master/tools/info.sh
Conf-ServiceOperations,install_pip.sh,https://github.com/openstack/devstack/blob/master/tools/install_pip.sh
Conf-ServiceOperations,install_prereqs.sh,https://github.com/openstack/devstack/blob/master/tools/install_prereqs.sh
Conf-ServiceOperations,make_cert.sh,https://github.com/openstack/devstack/blob/master/tools/make_cert.sh
Conf-ServiceOperations,memory_tracker.sh,https://github.com/openstack/devstack/blob/master/tools/memory_tracker.sh
Conf-ServiceOperations,ping_neutron.sh,https://github.com/openstack/devstack/blob/master/tools/ping_neutron.sh
Conf-ServiceOperations,upload_image.sh,https://github.com/openstack/devstack/blob/master/tools/upload_image.sh
Conf-Infrastructure-Setup,unstack.sh,https://github.com/openstack/devstack/blob/master/unstack.sh
Conf-ServiceOperations,devstack-vm-gate-dev.sh,https://github.com/openstack/devstack-gate/blob/master/devstack-vm-gate-dev.sh
Conf-ServiceOperations,devstack-vm-gate-wrap.sh,https://github.com/openstack/devstack-gate/blob/master/devstack-vm-gate-wrap.sh
Conf-ServiceOperations,devstack-vm-gate.sh,https://github.com/openstack/devstack-gate/blob/master/devstack-vm-gate.sh
Conf-ServiceOperations,functions.sh,https://github.com/openstack/devstack-gate/blob/master/functions.sh
Conf-Infrastructure-Setup,git_clone.sh,https://github.com/openstack/devstack-vagrant/blob/master/puppet/modules/base/files/git_clone.sh
Conf-Infrastructure-Setup,local.sh,https://github.com/openstack/devstack-vagrant/blob/master/puppet/modules/devstack/files/local.sh
